cal_dt,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
2020-03-01,3.2,5.0,7.0,3.0,0.0,-1.0,8.0,2.0,0.0,2.0,4.0,-4.0,3.0,1.0,4.0,9.0,6.0,7.0,-2.0,0.0,5.0,5.0,2.0,1.0,4.0,-2.0,3.0,1.0,-8.0,7.0,4.0,3.0,5.0,-3.0,1.0,5.0,2.0,3.0,9.0,1.0,5.0,3.0,2.0,6.0,1.0,2.0,0.0,-9.0,1.0,2.0,7.0,-1.0
2020-03-02,5.2,6.0,2.0,2.0,0.0,-2.0,8.0,9.0,8.0,1.0,-1.0,-5.0,5.0,2.0,0.0,4.0,4.0,0.0,1.0,0.0,4.0,0.0,-2.0,-1.0,3.0,1.0,7.0,1.0,-3.0,1.0,3.0,0.0,4.0,-1.0,1.0,1.0,2.0,-1.0,5.0,12.0,2.0,4.0,8.0,2.0,2.0,3.0,0.0,1.0,2.0,5.0,1.0,2.0
2020-03-03,5.1,2.0,0.0,2.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,-4.0,2.0,2.0,-1.0,3.0,7.0,1.0,-3.0,-2.0,3.0,-1.0,0.0,-1.0,2.0,1.0,6.0,-3.0,-2.0,1.0,2.0,-1.0,3.0,-2.0,0.0,0.0,2.0,1.0,2.0,16.0,0.0,3.0,6.0,-5.0,0.0,0.0,2.0,-4.0,3.0,3.0,2.0,4.0
2020-03-04,5.0,0.0,4.0,1.0,0.0,-1.0,6.0,1.0,7.0,0.0,-1.0,-2.0,2.0,1.0,0.0,4.0,6.0,1.0,-1.0,-2.0,4.0,0.0,-1.0,-1.0,5.0,-5.0,4.0,-1.0,-3.0,4.0,0.0,-1.0,3.0,-2.0,0.0,0.0,1.0,1.0,3.0,6.0,-1.0,1.0,5.0,3.0,-2.0,0.0,-2.0,-10.0,2.0,3.0,2.0,1.0
2020-03-05,4.0,1.0,2.0,2.0,-1.0,0.0,2.0,5.0,2.0,-1.0,-2.0,-3.0,5.0,1.0,0.0,4.0,5.0,1.0,-2.0,-2.0,3.0,4.0,-1.0,-1.0,5.0,-2.0,0.0,-2.0,0.0,1.0,2.0,-1.0,2.0,-1.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,4.0,0.0,1.0,-1.0,2.0,-1.0,1.0,0.0,0.0
2020-03-06,2.1,2.0,5.0,4.0,0.0,0.0,3.0,4.0,8.0,0.0,1.0,-3.0,16.0,2.0,2.0,5.0,12.0,3.0,-1.0,-1.0,1.0,2.0,-1.0,3.0,14.0,0.0,1.0,-1.0,-2.0,7.0,3.0,0.0,5.0,-1.0,1.0,1.0,2.0,-1.0,2.0,2.0,2.0,3.0,6.0,2.0,1.0,0.0,-1.0,-1.0,-2.0,6.0,2.0,1.0
2020-03-07,3.1,7.0,10.0,4.0,1.0,3.0,6.0,7.0,13.0,2.0,4.0,-3.0,13.0,1.0,6.0,5.0,14.0,8.0,0.0,-2.0,8.0,0.0,5.0,5.0,13.0,5.0,2.0,1.0,2.0,7.0,8.0,6.0,4.0,-2.0,3.0,4.0,5.0,3.0,7.0,2.0,6.0,4.0,-2.0,7.0,2.0,1.0,2.0,-8.0,0.0,2.0,4.0,-3.0
2020-03-08,-1.0,2.0,16.0,4.0,4.0,4.0,10.0,-4.0,10.0,3.0,4.0,-5.0,6.0,6.0,4.0,8.0,6.0,9.0,0.0,1.0,9.0,8.0,2.0,2.0,8.0,-4.0,6.0,0.0,-5.0,6.0,6.0,4.0,9.0,1.0,2.0,4.0,4.0,5.0,6.0,0.0,5.0,8.0,2.0,9.0,1.0,7.0,1.0,-7.0,-1.0,3.0,2.0,1.0
2020-03-09,6.0,4.0,3.0,-1.0,0.0,2.0,7.0,1.0,17.0,1.0,0.0,-2.0,1.0,6.0,0.0,6.0,2.0,5.0,2.0,-2.0,6.0,5.0,-3.0,1.0,1.0,-4.0,7.0,0.0,-4.0,-1.0,-3.0,-1.0,2.0,-1.0,0.0,1.0,0.0,0.0,4.0,9.0,2.0,5.0,5.0,4.0,-2.0,6.0,-2.0,-3.0,-2.0,6.0,-2.0,11.0
2020-03-10,3.0,0.0,1.0,-2.0,-2.0,1.0,2.0,-5.0,7.0,0.0,-2.0,-4.0,2.0,2.0,-3.0,4.0,4.0,-1.0,-1.0,-5.0,3.0,0.0,-2.0,-3.0,2.0,-3.0,4.0,-2.0,-6.0,1.0,-3.0,-3.0,4.0,-2.0,-3.0,0.0,3.0,1.0,2.0,13.0,-3.0,3.0,4.0,2.0,-3.0,1.0,0.0,-2.0,-2.0,5.0,1.0,11.0
